Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,110.739998,110.739998,110.739998,110.739998,80.312920,0
2005-01-04,109.459999,109.459999,109.459999,109.459999,79.384644,0
2005-01-05,109.070000,109.070000,109.070000,109.070000,79.101791,0
2005-01-06,109.470001,109.470001,109.470001,109.470001,79.391884,0
2005-01-07,109.320000,109.320000,109.320000,109.320000,79.283096,0
2005-01-10,109.690002,109.690002,109.690002,109.690002,79.551437,0
2005-01-11,109.029999,109.029999,109.029999,109.029999,79.072815,0
2005-01-12,109.480003,109.480003,109.480003,109.480003,79.399155,0
2005-01-13,108.529999,108.529999,108.529999,108.529999,78.710144,0
2005-01-14,109.180000,109.180000,109.180000,109.180000,79.181595,0
2005-01-18,110.239998,110.239998,110.239998,110.239998,79.950317,0
2005-01-19,109.199997,109.199997,109.199997,109.199997,79.196053,0
2005-01-20,108.360001,108.360001,108.360001,108.360001,78.586891,0
2005-01-21,107.660004,107.660004,107.660004,107.660004,78.079208,0
2005-01-24,107.279999,107.279999,107.279999,107.279999,77.803612,0
2005-01-25,107.709999,107.709999,107.709999,107.709999,78.115463,0
2005-01-26,108.239998,108.239998,108.239998,108.239998,78.499847,0
2005-01-27,108.290001,108.290001,108.290001,108.290001,78.536102,0
2005-01-28,108.000000,108.000000,108.000000,108.000000,78.325790,0
2005-01-31,108.919998,108.919998,108.919998,108.919998,78.993019,0
2005-02-01,109.669998,109.669998,109.669998,109.669998,79.536957,0
2005-02-02,110.029999,110.029999,110.029999,110.029999,79.798050,0
2005-02-03,109.760002,109.760002,109.760002,109.760002,79.602234,0
2005-02-04,110.970001,110.970001,110.970001,110.970001,80.479759,0
2005-02-07,110.849998,110.849998,110.849998,110.849998,80.392723,0
2005-02-08,110.930000,110.930000,110.930000,110.930000,80.450737,0
2005-02-09,110.000000,110.000000,110.000000,110.000000,79.776276,0
2005-02-10,110.470001,110.470001,110.470001,110.470001,80.117126,0
2005-02-11,111.260002,111.260002,111.260002,111.260002,80.690086,0
2005-02-14,111.349998,111.349998,111.349998,111.349998,80.755341,0
2005-02-15,111.730003,111.730003,111.730003,111.730003,81.030937,0
2005-02-16,111.760002,111.760002,111.760002,111.760002,81.052681,0
2005-02-17,110.879997,110.879997,110.879997,110.879997,80.414497,0
2005-02-18,110.959999,110.959999,110.959999,110.959999,80.472473,0
2005-02-22,109.349998,109.349998,109.349998,109.349998,79.304863,0
2005-02-23,109.970001,109.970001,109.970001,109.970001,79.754517,0
2005-02-24,110.870003,110.870003,110.870003,110.870003,80.407242,0
2005-02-25,111.919998,111.919998,111.919998,111.919998,81.168732,0
2005-02-28,111.199997,111.199997,111.199997,111.199997,80.646538,0
2005-03-01,111.830002,111.830002,111.830002,111.830002,81.103455,0
2005-03-02,111.839996,111.839996,111.839996,111.839996,81.110733,0
2005-03-03,111.870003,111.870003,111.870003,111.870003,81.132462,0
2005-03-04,112.949997,112.949997,112.949997,112.949997,81.915718,0
2005-03-07,113.250000,113.250000,113.250000,113.250000,82.133293,0
2005-03-08,112.720001,112.720001,112.720001,112.720001,81.748924,0
2005-03-09,111.580002,111.580002,111.580002,111.580002,80.922157,0
2005-03-10,111.790001,111.790001,111.790001,111.790001,81.074478,0
2005-03-11,110.970001,110.970001,110.970001,110.970001,80.479759,0
2005-03-14,111.599998,111.599998,111.599998,111.599998,80.936646,0
2005-03-15,110.760002,110.760002,110.760002,110.760002,80.327461,0
